record_index,Type_L,Type_M,Process temperature [K],Temperature difference,Rotational speed [rpm],Torque [Nm],Power [W],Tool wear [min]
3693,1,0,311.3,9.2,1521,31.5,5017.28,202
590,1,0,309.4,11.9,1517,36.7,5830.16,233
6770,0,1,310.8,9.5,1509,40.1,6336.69,25
1412,0,1,309.9,11.1,1415,53.2,7883.09,194
3298,1,0,310.3,9.1,1499,38.1,5980.74,61
8101,1,0,311.8,11.5,1567,37.7,6186.41,180
4598,1,0,311.2,8.1,1399,49.2,7207.94,111
3600,1,0,310.5,8.8,1523,34.7,5534.24,181
3584,1,0,310.6,8.8,1192,68.9,8600.51,135
5809,0,0,311.0,9.7,1580,36.6,6055.73,184
7314,1,0,310.3,10.4,1268,53.3,7077.42,146
6436,1,0,310.0,9.6,1769,26.1,4835.01,38
1195,0,1,308.0,11.0,1408,47.9,7062.64,54
8260,0,0,310.6,11.5,1332,48.0,6695.36,148
168,1,0,308.3,9.9,1433,62.3,9348.95,20
7725,1,0,311.7,11.1,1744,26.9,4912.78,111
9706,0,1,310.1,11.1,1705,30.1,5374.27,84
6535,0,0,310.5,9.3,1505,43.6,6871.5,78
8206,1,0,310.8,11.5,1483,43.5,6755.52,15
44,0,1,309.1,10.3,1472,47.5,7322.01,125
8898,1,0,308.6,11.2,1532,38.7,6208.67,136
7686,0,1,311.7,11.0,1504,36.9,5811.7,229
6066,1,0,311.0,10.0,1804,25.8,4873.99,174
2330,0,1,308.7,9.4,1390,49.3,7176.13,215
7611,1,0,311.4,10.9,1611,32.7,5516.61,44
1275,0,1,309.4,11.3,1362,47.6,6789.11,70
8347,1,0,309.6,10.9,1665,31.1,5422.55,178
6710,1,0,310.7,9.2,1323,49.7,6885.65,79
8211,1,0,310.6,11.4,1675,33.3,5841.01,28
1113,0,1,307.4,10.8,1790,25.8,4836.17,72
3090,0,0,309.3,9.2,1448,45.8,6944.85,163
6200,1,0,310.9,9.9,1679,29.8,5239.57,64
5181,1,0,313.1,9.1,1720,28.7,5169.39,106
5932,1,0,310.5,10.0,1515,36.6,5806.61,54
5943,1,0,310.7,10.0,1541,41.3,6664.71,82
336,0,1,308.2,10.6,1995,20.5,4282.78,10
4641,0,0,311.3,8.2,1494,42.7,6680.47,221
2451,1,0,308.7,9.5,1650,30.5,5270.02,93
115,1,0,308.6,9.8,1431,45.7,6848.33,97
64,1,0,309.1,10.1,1523,38.6,6156.24,177
8160,0,1,311.1,11.4,1618,30.3,5133.93,125
479,0,1,308.9,11.5,1323,57.3,7938.58,163
2464,0,1,308.5,9.6,1534,42.9,6891.46,121
2720,1,0,309.2,9.6,1559,39.1,6383.39,110
17,0,1,309.2,10.5,1410,45.6,6733.06,47
1800,0,1,307.5,9.5,1524,36.3,5793.22,98
3006,1,0,309.7,9.3,1488,35.7,5562.88,177
3801,0,1,310.9,8.7,1771,27.6,5118.66,54
6896,0,1,311.6,10.6,1454,40.0,6090.5,140
2693,0,1,309.6,9.5,1622,36.1,6131.78,43
1155,0,0,307.9,10.9,1846,27.3,5277.44,179
5553,1,0,311.9,9.4,1306,59.7,8164.81,172
9191,0,1,309.0,11.1,1970,21.6,4456.04,37
3214,0,0,309.3,8.9,1396,51.2,7484.87,54
1297,1,0,309.9,11.1,1428,42.4,6340.49,132
6629,1,0,310.5,8.9,1397,49.4,7226.9,104
6581,1,0,310.4,9.0,1559,36.0,5877.29,196
7836,1,0,311.4,11.3,1604,35.0,5878.97,191
5756,0,1,311.5,9.5,1366,52.3,7481.37,54
4874,1,0,312.5,8.7,1619,30.9,5238.83,142
6897,1,0,311.6,10.6,1352,63.5,8990.4,143
142,0,1,308.4,9.8,1778,28.2,5250.61,161
9157,1,0,308.5,11.0,1462,52.3,8007.14,148
9421,0,1,308.5,10.4,1382,54.5,7887.39,17
8856,0,1,308.9,11.2,1327,63.7,8851.95,21
6872,1,0,311.3,10.3,1472,35.3,5441.41,73
263,0,1,308.1,10.1,1587,32.3,5367.95,30
229,1,0,308.5,10.2,1538,32.2,5186.1,173
9562,0,1,311.0,11.3,1435,50.1,7528.67,168
2408,1,0,308.4,9.4,1356,52.6,7469.2,188
4535,1,0,310.2,7.8,1503,36.2,5697.66,166
4047,1,0,311.0,9.1,1455,46.0,7008.89,29
5587,1,0,311.9,9.4,1481,42.9,6653.36,52
6763,0,1,310.8,9.4,1782,26.5,4945.18,6
5166,0,0,313.5,9.3,1546,41.4,6702.53,58
9757,0,1,309.9,11.3,1517,34.0,5401.24,215
7196,0,0,310.1,10.0,1426,42.7,6376.41,64
1192,0,1,308.3,11.1,1431,43.7,6548.62,46
9133,1,0,308.7,11.0,1479,45.7,7078.04,93
5325,1,0,312.7,9.2,1694,27.3,4842.89,40
5223,0,1,313.2,9.3,1350,47.2,6672.74,2
8929,0,1,308.4,11.0,1620,35.8,6073.33,215
2177,0,1,309.2,9.6,1393,47.7,6958.22,28
2149,1,0,309.0,9.6,1613,32.2,5439.0,178
2824,0,1,309.5,9.2,1448,42.4,6429.29,145
749,1,0,308.0,11.4,1978,22.3,4619.13,208
1450,0,1,310.3,11.3,1447,39.9,6046.03,78
7427,1,0,311.4,11.4,1634,31.9,5458.48,0
1909,1,0,307.7,9.7,1435,45.6,6852.44,184
7976,0,0,312.4,11.2,1395,47.8,6982.82,90
4126,0,1,310.6,8.6,1623,34.3,5829.63,9
2417,1,0,308.3,9.4,1576,36.6,6040.4,7
9698,1,0,309.8,11.0,1663,28.2,4911.0,67
2005,1,0,308.3,9.8,1504,38.0,5984.94,20
7575,1,0,311.2,10.8,1471,46.5,7162.99,164
6311,1,0,310.3,9.4,1446,44.5,6738.4,135
4595,0,1,311.2,8.2,1460,43.9,6711.91,103
3074,1,0,309.2,9.1,1783,27.3,5097.33,118
3385,1,0,310.7,9.2,1466,43.6,6693.44,56
9306,0,1,309.2,10.9,1783,28.3,5284.04,130
3113,0,1,309.1,9.2,1345,56.8,8000.17,10
5996,0,1,310.2,9.7,1386,48.2,6995.82,225
9813,1,0,309.1,10.8,1387,52.3,7596.38,160
3612,1,0,310.8,9.1,1622,37.8,6420.54,0
2952,0,0,309.5,8.8,1667,30.5,5324.32,29
