Type_L,Type_M,Process temperature [K],Temperature difference,Rotational speed [rpm],Torque [Nm],Power [W],Tool wear [min],Machine failure
False,True,308.6,10.5,1551,42.8,6951.59,0,0
True,False,308.7,10.5,1408,46.3,6826.72,3,0
True,False,308.5,10.4,1498,49.4,7749.39,5,0
True,False,308.6,10.4,1433,39.5,5927.5,7,0
True,False,308.7,10.5,1408,40.0,5897.82,9,0
False,True,308.6,10.5,1425,41.9,6252.55,11,0
True,False,308.6,10.5,1558,42.4,6917.7,14,0
True,False,308.6,10.5,1527,40.2,6428.26,16,0
False,True,308.7,10.4,1667,28.6,4992.64,18,0
False,True,309.0,10.5,1741,28.0,5104.88,21,0
False,False,308.9,10.5,1782,23.9,4459.99,24,0
False,False,309.1,10.5,1423,44.3,6601.42,29,0
False,True,309.1,10.5,1339,51.1,7165.23,34,0
False,True,309.2,10.6,1742,30.0,5472.65,37,0
True,False,309.2,10.6,2035,19.6,4176.85,40,0
True,False,309.2,10.6,1542,48.4,7815.53,42,0
False,True,309.2,10.6,1311,46.6,6397.6,44,0
False,True,309.2,10.5,1410,45.6,6733.06,47,0
False,False,309.2,10.4,1306,54.5,7453.64,50,0
False,True,309.3,10.4,1632,32.5,5554.34,55,0
False,False,309.3,10.4,1375,42.7,6148.36,58,0
True,False,309.3,10.5,1450,44.8,6802.6,63,0
False,True,309.3,10.4,1581,30.7,5082.75,65,0
True,False,309.4,10.4,1758,25.7,4731.3,68,0
False,True,309.4,10.4,1561,37.3,6097.34,70,0
True,False,309.5,10.5,1861,23.3,4540.78,73,0
True,False,309.5,10.4,1512,39.0,6175.11,75,0
False,False,309.4,10.3,1811,24.6,4665.33,77,0
True,False,309.4,10.3,1439,44.2,6660.57,82,0
True,False,309.4,10.4,1693,30.1,5336.45,84,0
False,True,309.5,10.4,1339,48.2,6758.59,86,0
True,False,309.4,10.4,1798,25.5,4801.3,89,0
True,False,309.4,10.4,1419,48.3,7177.25,91,0
True,False,309.3,10.4,1665,32.5,5666.65,93,0
False,True,309.1,10.3,1559,34.7,5665.06,95,0
False,True,309.2,10.4,1452,48.6,7389.78,98,0
False,True,309.2,10.3,1581,36.7,6076.12,101,0
True,False,309.1,10.3,1439,39.2,5907.12,104,0
False,False,309.2,10.3,1379,50.7,7321.51,106,0
True,False,309.1,10.3,1350,52.5,7422.01,111,0
True,False,309.1,10.3,1362,45.4,6475.33,113,0
True,False,309.1,10.3,1368,50.8,7277.44,115,0
False,True,309.1,10.3,1368,49.1,7033.9,117,0
False,False,309.2,10.4,1372,48.5,6968.26,120,0
False,True,309.1,10.3,1472,47.5,7322.01,125,0
True,False,309.1,10.3,1489,49.1,7656.05,128,0
False,True,309.0,10.3,1843,25.8,4979.36,130,0
True,False,309.1,10.3,1418,46.3,6875.21,133,0
False,False,309.2,10.4,1425,53.9,8043.26,135,0
False,True,309.2,10.3,1412,44.1,6520.82,140,0
True,False,309.1,10.2,2861,4.6,1378.17,143,1
True,False,309.1,10.2,1383,54.9,7951.03,145,0
False,False,309.0,10.2,1497,43.8,6866.33,147,0
True,False,309.0,10.3,1565,35.1,5752.41,152,0
True,False,309.0,10.3,1691,30.1,5330.14,154,0
True,False,309.1,10.3,1512,40.7,6444.29,156,0
True,False,309.1,10.3,1477,42.4,6558.05,158,0
True,False,309.1,10.3,1513,40.3,6385.17,160,0
False,True,309.0,10.2,1661,29.5,5131.22,162,0
True,False,309.1,10.3,1378,54.4,7850.13,165,0
True,False,309.1,10.3,1393,52.6,7673.0,167,0
False,True,309.0,10.2,1592,38.2,6368.47,169,0
True,False,309.0,10.2,1829,22.9,4386.09,172,0
False,True,309.0,10.1,1812,25.9,4914.58,174,0
True,False,309.1,10.1,1523,38.6,6156.24,177,0
True,False,309.1,10.1,1394,45.1,6583.67,179,0
False,True,308.9,10.0,1679,28.7,5046.16,181,0
False,False,308.9,10.1,1466,44.1,6770.2,184,0
True,False,308.9,10.1,1527,32.4,5180.99,189,0
True,False,309.0,10.1,1410,65.7,9700.92,191,1
False,True,309.0,10.1,1924,22.6,4553.47,193,0
True,False,309.1,10.2,1452,45.5,6918.42,196,0
True,False,309.1,10.2,1369,44.4,6365.24,198,0
True,False,309.1,10.1,1592,35.0,5834.98,200,0
True,False,309.0,10.1,1601,32.3,5415.3,202,0
True,False,308.9,10.1,1379,46.7,6743.88,204,0
True,False,308.9,10.1,1461,47.9,7328.49,206,0
True,False,308.9,10.1,1455,41.3,6292.77,208,1
True,False,308.9,10.1,1398,51.5,7539.51,0,0
True,False,308.9,10.1,1402,37.9,5564.37,2,0
False,False,308.8,10.0,1445,49.9,7550.87,4,0
True,False,308.9,10.0,1450,47.5,7212.57,9,0
True,False,308.9,10.0,1453,40.8,6208.04,11,0
True,False,309.0,10.0,1469,40.1,6168.72,13,0
True,False,308.9,10.0,1422,47.6,7088.19,15,0
False,True,309.0,10.0,1804,26.8,5062.91,17,0
False,False,309.0,10.0,1436,43.9,6601.58,20,0
True,False,309.0,10.0,1544,31.8,5141.66,25,0
False,True,309.0,10.0,1419,45.2,6716.6,27,0
False,True,308.9,10.0,1487,39.5,6150.87,30,0
True,False,308.9,10.0,1753,25.8,4736.2,33,0
True,False,308.9,10.0,1830,24.9,4771.77,35,0
False,True,308.9,10.0,1727,27.1,4901.06,37,0
True,False,309.0,9.9,1450,43.0,6529.28,40,0
True,False,308.9,9.9,1622,31.9,5418.39,42,0
False,True,309.0,10.0,1351,52.2,7385.07,44,0
False,True,309.0,10.0,1575,35.3,5822.16,47,0
False,True,308.9,10.0,1750,29.9,5479.46,50,0
True,False,308.8,9.9,1529,32.7,5235.81,53,0
True,False,308.8,10.0,1523,44.4,7081.28,55,0
True,False,308.9,10.1,1852,25.0,4848.52,57,0
True,False,308.8,10.0,1991,20.7,4315.89,59,0
True,False,308.8,10.0,1555,40.6,6611.27,61,0
False,True,308.8,10.0,1441,40.5,6111.5,63,0
True,False,308.7,9.9,1450,43.4,6590.01,66,0
True,False,308.7,9.9,1591,31.1,5181.54,68,0
True,False,308.7,9.9,1445,48.5,7339.02,70,0
False,True,308.8,10.0,1497,46.8,7336.62,72,0
False,False,308.8,9.9,1621,32.7,5550.85,75,0
True,False,308.7,9.8,1572,34.1,5613.52,80,0
True,False,308.6,9.8,1872,22.5,4410.8,82,0
False,False,308.6,9.9,1499,43.5,6828.41,84,0
False,True,308.7,9.9,1498,39.5,6196.37,89,0
False,True,308.6,9.8,1486,41.9,6520.21,92,0
True,False,308.6,9.8,1680,29.4,5172.32,95,0
True,False,308.6,9.8,1431,45.7,6848.33,97,0
True,False,308.7,9.8,1564,34.1,5584.96,99,0
True,False,308.6,9.8,1599,33.0,5525.75,101,0
False,True,308.6,9.8,1707,28.1,5023.06,103,0
True,False,308.5,9.8,1467,40.7,6252.49,106,0
True,False,308.7,9.8,1433,44.7,6707.83,108,0
True,False,308.7,9.8,1558,41.2,6721.92,110,0
True,False,308.8,9.8,1310,50.7,6955.17,112,0
True,False,308.7,9.8,1546,43.4,7026.32,114,0
True,False,308.7,9.8,1727,29.4,5317.02,116,0
True,False,308.6,9.7,1560,32.2,5260.28,118,0
True,False,308.6,9.6,1329,60.5,8419.94,120,0
True,False,308.6,9.7,1413,46.5,6880.56,122,0
True,False,308.6,9.6,1587,38.6,6414.94,124,0
True,False,308.5,9.6,1559,34.3,5599.75,126,0
True,False,308.4,9.6,1473,41.1,6339.77,128,0
True,False,308.4,9.6,1737,27.7,5038.58,130,0
False,True,308.4,9.7,1441,43.2,6518.93,132,0
False,True,308.4,9.7,1430,49.6,7427.56,135,0
True,False,308.4,9.6,1369,53.0,7598.15,138,0
False,True,308.5,9.7,1711,28.5,5106.5,140,0
False,False,308.5,9.8,1420,45.7,6795.68,143,0
True,False,308.6,9.9,1297,55.3,7510.93,148,0
False,False,308.6,9.8,1449,49.4,7495.9,150,0
True,False,308.6,9.8,1268,55.8,7409.38,155,0
True,False,308.6,9.8,1511,36.1,5712.16,157,0
True,False,308.5,9.8,1544,35.2,5691.39,159,0
False,True,308.4,9.8,1778,28.2,5250.61,161,0
