source,mean_predicted,fraction_positive,count
OOF (train),0.0035,0.004,7699
OOF (train),0.1386,0.0513,39
OOF (train),0.2418,0.0,5
OOF (train),0.3562,0.4615,13
OOF (train),0.4563,0.3,10
OOF (train),0.5353,0.0,6
OOF (train),0.6589,0.6,5
OOF (train),0.7415,0.6667,3
OOF (train),0.8573,1.0,15
OOF (train),0.9666,0.9854,205
X_test,0.0042,0.0031,1911
X_test,0.1377,0.0769,13
X_test,0.2283,0.0909,11
X_test,0.3452,0.0,3
X_test,0.4404,0.4,5
X_test,0.5216,0.0,1
X_test,0.777,1.0,2
X_test,0.8459,1.0,3
X_test,0.9607,1.0,51
