threshold,precision,recall,f1,false_positives,false_negatives,ties,cost_FN_1x_FP,cost_FN_5x_FP,cost_FN_10x_FP,cost_FN_20x_FP,cost_FN_30x_FP,cost_FN_50x_FP
0.05,0.5381,0.9091,0.6761,206,24,0,230,326,446,686,926,1406
0.1,0.7741,0.8826,0.8248,68,31,0,99,223,378,688,998,1618
0.15,0.8436,0.8788,0.8609,43,32,0,75,203,363,683,1003,1643
0.2,0.8817,0.875,0.8783,31,33,0,64,196,361,691,1021,1681
0.25,0.8953,0.875,0.8851,27,33,0,60,192,357,687,1017,1677
0.3,0.8988,0.875,0.8868,26,33,0,59,191,356,686,1016,1676
0.35,0.9076,0.8561,0.8811,23,38,0,61,213,403,783,1163,1923
0.4,0.9221,0.8523,0.8858,19,39,0,58,214,409,799,1189,1969
0.45,0.9292,0.8447,0.8849,17,41,0,58,222,427,837,1247,2067
0.5,0.9487,0.8409,0.8916,12,42,0,54,222,432,852,1272,2112
0.55,0.9694,0.8409,0.9006,7,42,0,49,217,427,847,1267,2107
0.6,0.9737,0.8409,0.9024,6,42,0,48,216,426,846,1266,2106
0.65,0.9736,0.8371,0.9002,6,43,0,49,221,436,866,1296,2156
0.7,0.9821,0.8295,0.8994,4,45,0,49,229,454,904,1354,2254
0.75,0.9864,0.8258,0.899,3,46,0,49,233,463,923,1383,2303
0.8,0.9864,0.822,0.8967,3,47,0,50,238,473,943,1413,2353
0.85,0.986,0.7992,0.8828,3,53,0,56,268,533,1063,1593,2653
0.9,0.9854,0.7652,0.8614,3,62,0,65,313,623,1243,1863,3103
0.95,0.9789,0.5265,0.6847,3,125,0,128,628,1253,2503,3753,6253
